id;type_clone;name;description;score;score_level
1;quantify compressing Accounts;compress open-source Accountability;../fake-data/blob/hipster.txt;69524;Personal Loan Account Customer eyeballs
2;Ohio Producer program;Berkshire Pizza;../fake-data/blob/hipster.txt;46562;repurpose Mouse Divide
3;navigate Peru;Credit Card Account programming transmitting;../fake-data/blob/hipster.txt;6595;mobile Bike web services
4;index green;Won Borders;../fake-data/blob/hipster.txt;72355;Credit Card Account Ball
5;copying;wireless bandwidth;../fake-data/blob/hipster.txt;90351;Alabama
6;Practical Frozen Ball Auto Loan Account;cross-media;../fake-data/blob/hipster.txt;69621;deposit metrics
7;International;impactful Integration Granite;../fake-data/blob/hipster.txt;20911;fuchsia
8;back-end Creative override;Bedfordshire Industrial;../fake-data/blob/hipster.txt;24551;heuristic Borders
9;moratorium Stravenue Polarised;Sausages;../fake-data/blob/hipster.txt;98340;Division CSS
10;Tasty;Industrial;../fake-data/blob/hipster.txt;50261;haptic Checking Account distributed
