id;type_clone;name;description;score;content;feedback;dev_status;dev_notes;feedback_status;link_project;deadline
1;neural Rustic;Ergonomic Soft Chair Handcrafted Accounts;../fake-data/blob/hipster.txt;74839;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Rupiah Money Market Account;../fake-data/blob/hipster.txt;dynamic holistic array;copying;2021-01-16T06:40:55
2;Dynamic Re-contextualized;SCSI Azerbaijanian Manat;../fake-data/blob/hipster.txt;57760;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Technician one-to-one;../fake-data/blob/hipster.txt;transmitting Tools;redundant National global;2021-01-16T18:23:50
3;Coordinator zero tolerance;Avon;../fake-data/blob/hipster.txt;14317;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Reunion back-end;../fake-data/blob/hipster.txt;Auto Loan Account District;deliver;2021-01-16T15:20:09
4;Computers;bandwidth;../fake-data/blob/hipster.txt;20608;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;communities SSL;../fake-data/blob/hipster.txt;Ohio turn-key CSS;backing up Handcrafted;2021-01-16T11:59:20
5;programming microchip;Mobility;../fake-data/blob/hipster.txt;9747;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;recontextualize functionalities e-business;../fake-data/blob/hipster.txt;Mobility;data-warehouse Credit Card Account Officer;2021-01-16T05:24:03
6;local bandwidth;COM synthesize Grocery;../fake-data/blob/hipster.txt;18753;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Gorgeous Libyan Arab Jamahiriya cultivate;../fake-data/blob/hipster.txt;United States Minor Outlying Islands Generic IB;invoice interactive Accountability;2021-01-16T21:48:21
7;PCI Shirt lime;monitor override;../fake-data/blob/hipster.txt;3662;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Diverse Savings Account;../fake-data/blob/hipster.txt;Jamaican Dollar;foreground Future Savings Account;2021-01-17T03:11:47
8;hard drive Rustic;Borders;../fake-data/blob/hipster.txt;24533;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;pink;../fake-data/blob/hipster.txt;Massachusetts;infrastructures;2021-01-16T19:50:41
9;transmit Associate;Salad;../fake-data/blob/hipster.txt;68368;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Tools Illinois Agent;../fake-data/blob/hipster.txt;Central internet solution Burundi Franc;Bedfordshire;2021-01-16T09:27:37
10;Idaho Frozen;forecast;../fake-data/blob/hipster.txt;80745;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;connect deposit THX;../fake-data/blob/hipster.txt;Cotton bandwidth empower;silver;2021-01-16T09:10:00
